id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
36,119.3,119.4,119.25,119.25,29448,0,0.0,None,0.0,120.81666666666672,-5.357142857142857
37,292.3,292.6,292.3,292.6,290,0,0.0,None,0.0,302.5333333333333,-6.933842239185736
38,2303.7,2303.7,2301.95,2302.9,399,1800,1699818007.879179,S,2302.95,2302.95,-3.0296650314756643
39,3413.55,3413.55,3410.7,3411.45,156,0,0.0,None,0.0,3409.5499999999997,-1.509924215084812
40,1317.65,1318.0,1316.9,1318.0,1250,1800,1699818007.9071057,S,1318.15,1318.15,-2.236398026925794
41,87.05,87.1,87.0,87.05,158334,0,0.0,None,0.0,88.69999999999999,-3.9713182570325514
42,5305.8,5306.7,5301.9,5305.4,280,0,0.0,None,0.0,5320.0666666666675,-3.2320431911866767
43,1836.7,1836.7,1832.3,1832.3,1845,0,0.0,None,0.0,1855.5333333333328,-7.258186971706235
44,1132.65,1133.85,1132.45,1133.85,5891,0,0.0,None,0.0,1136.8500000000004,-3.2674998933583743
45,601.8,602.6,601.75,602.4,5703,0,0.0,None,0.0,602.0166666666669,-5.7276995305164355
46,4458.95,4459.6,4454.25,4456.5,673,0,0.0,None,0.0,4471.233333333337,-3.1711371117556917
47,214.8,215.0,214.7,214.85,6582,0,0.0,None,0.0,215.5000000000001,-5.41492405899186
